pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,877.7214208618806
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,889.2998641859174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,899.1650495940918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,899.1650495940918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,892.9080781767947
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,884.9534697768527
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,884.9534697768527
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,877.7214208618806
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,889.2998641859174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,899.1650495940918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,900.9327982237021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,894.675826806405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,879.4891694914909
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,891.0676128155277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,900.9327982237021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,900.9327982237021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,894.675826806405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,879.4891694914909
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,891.0676128155277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,900.9327982237021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,900.9327982237021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,894.675826806405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,886.721218406463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,879.9255383742948
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,891.0676128155277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,900.9327982237021
